total_resource,6,,
---,,,
alternative_chain,,,
1,"(9,'9x')",,
2,"(2,'2x')",,
---,,,
jobnr,resource,time,successors
'2x',6,7,{18}
'9x',6,3,{23}
1,4,7,"{2,3,4,'2x'}"
10,5,4,{14}
11,1,7,"{12,16}"
12,1,4,{27}
13,6,4,{26}
14,4,7,{20}
15,4,2,{28}
16,2,2,"{17,19}"
17,5,3,{21}
18,4,6,{24}
19,5,5,{27}
2,3,6,{18}
20,5,3,{23}
21,6,4,{26}
22,2,6,{28}
23,6,6,{25}
24,4,3,{29}
25,5,7,{28}
26,4,2,{29}
27,1,6,{29}
28,2,2,{29}
29,6,6,{30}
3,3,4,{22}
30,1,7,{}
4,4,4,"{5,10}"
5,1,3,"{6,13}"
6,2,3,"{7,11}"
7,4,7,"{8,15}"
8,6,3,"{9,25,'9x'}"
9,3,4,{23}
