total_resource,6,,
---,,,
alternative_chain,,,
1,"(1,'1x')",,
2,"(25,'25x')",,
---,,,
jobnr,resource,time,successors
'1x',3,2,"{2,3,4}"
'25x',5,6,{28}
1,3,5,"{2,3,4}"
10,2,2,"{11,28}"
11,4,5,"{12,18}"
12,6,2,{21}
13,4,4,"{14,27}"
14,3,6,"{15,16}"
15,1,3,{20}
16,3,2,{22}
17,3,3,{23}
18,5,2,{22}
19,6,7,{27}
2,1,5,{23}
20,2,3,{28}
21,5,7,{24}
22,2,4,"{25,'25x'}"
23,5,6,{26}
24,4,5,{27}
25,6,4,{28}
26,4,3,{28}
27,1,2,{29}
28,1,4,{29}
29,6,2,{30}
3,1,6,"{25,'25x'}"
30,3,2,{}
4,6,7,"{5,26}"
5,3,3,"{6,24}"
6,4,6,"{7,10}"
7,2,3,"{8,13}"
8,6,4,"{9,19}"
9,4,4,{17}
