total_resource,6,,
---,,,
alternative_chain,,,
1,"(18,'18x')",,
2,"(30,'30x')",,
---,,,
jobnr,resource,time,successors
'18x',1,5,{25}
'30x',5,3,{}
1,3,6,"{2,3,4}"
10,6,4,{23}
11,3,5,{13}
12,5,2,{16}
13,3,7,"{14,17}"
14,6,5,{26}
15,1,2,{28}
16,4,3,"{18,'18x'}"
17,3,7,{24}
18,1,4,{25}
19,1,7,{23}
2,6,3,{15}
20,4,3,{27}
21,2,5,{28}
22,6,4,{24}
23,5,2,{26}
24,1,6,{25}
25,3,6,{29}
26,6,4,{29}
27,6,6,{29}
28,3,4,{29}
29,5,6,"{30,'30x'}"
3,4,4,{27}
30,2,6,{}
4,1,5,"{5,22}"
5,1,3,"{6,12}"
6,5,4,"{7,20}"
7,1,6,"{8,21}"
8,1,5,"{9,11}"
9,5,4,"{10,19}"
