total_resource,6,,
---,,,
alternative_chain,,,
1,"(25,'25x')",,
2,"(16,'16x')",,
---,,,
jobnr,resource,time,successors
'16x',4,6,{18}
'25x',4,4,{26}
1,6,7,"{2,3,4}"
10,3,5,"{11,26}"
11,4,7,{13}
12,4,5,{19}
13,2,2,{20}
14,6,2,"{15,16,'16x'}"
15,5,2,{21}
16,2,7,{18}
17,6,2,"{25,'25x'}"
18,6,4,{22}
19,3,3,{28}
2,6,6,{27}
20,4,3,{27}
21,1,6,{28}
22,2,7,"{25,'25x'}"
23,6,3,{26}
24,4,2,"{25,'25x'}"
25,3,7,{26}
26,5,2,{28}
27,4,7,{28}
28,4,2,{29}
29,5,7,{30}
3,6,7,{8}
30,2,5,{}
4,1,7,"{5,24}"
5,6,5,"{6,12}"
6,6,5,"{7,9}"
7,6,7,{14}
8,5,5,{17}
9,2,4,"{10,23}"
