total_resource,6,,
---,,,
alternative_chain,,,
1,"(19,'19x')",,
2,"(22,'22x')",,
---,,,
jobnr,resource,time,successors
'19x',6,2,{24}
'22x',3,5,{28}
1,5,7,"{2,3,4}"
10,4,7,"{11,16}"
11,5,5,{15}
12,1,7,{20}
13,2,5,{26}
14,3,2,"{22,'22x'}"
15,2,5,{21}
16,2,2,"{17,25}"
17,2,2,{27}
18,6,6,{23}
19,4,6,{24}
2,2,4,{13}
20,6,4,{21}
21,5,2,{25}
22,1,6,{28}
23,3,5,{27}
24,1,5,{26}
25,5,6,{27}
26,6,5,{29}
27,6,4,{29}
28,4,6,{29}
29,3,7,{30}
3,2,3,{28}
30,6,3,{}
4,6,5,"{5,14}"
5,6,5,"{6,12}"
6,3,4,"{7,23}"
7,1,4,"{8,18}"
8,5,6,"{9,24}"
9,2,7,"{10,19,'19x'}"
