total_resource,6,,
---,,,
alternative_chain,,,
1,"(1,'1x')",,
2,"(27,'27x')",,
---,,,
jobnr,resource,time,successors
'1x',6,2,"{2,3,4}"
'27x',1,3,{28}
1,4,4,"{2,3,4}"
10,5,2,"{11,25}"
11,3,5,{15}
12,5,3,"{13,28}"
13,5,3,{23}
14,1,6,{20}
15,3,4,"{16,17}"
16,4,5,{24}
17,4,5,{26}
18,4,4,{24}
19,5,2,{23}
2,5,5,{22}
20,3,2,{26}
21,2,5,{22}
22,6,5,{25}
23,4,5,"{27,'27x'}"
24,6,3,{28}
25,3,2,"{27,'27x'}"
26,1,4,"{27,'27x'}"
27,1,6,{28}
28,1,4,{29}
29,5,2,{30}
3,5,3,{5}
30,3,6,{}
4,3,6,{12}
5,5,2,"{6,27,'27x'}"
6,4,3,"{7,19}"
7,6,5,"{8,14}"
8,2,3,"{9,21}"
9,1,5,"{10,18}"
