total_resource,6,,
---,,,
alternative_chain,,,
1,"(22,'22x')",,
2,"(30,'30x')",,
---,,,
jobnr,resource,time,successors
'22x',1,2,{28}
'30x',3,2,{}
1,5,6,"{2,3,4}"
10,4,2,{17}
11,2,3,"{12,22,'22x'}"
12,1,4,"{13,19}"
13,1,7,"{14,20}"
14,5,3,"{15,26}"
15,2,6,{21}
16,6,6,{23}
17,2,7,"{22,'22x'}"
18,1,4,{27}
19,1,7,{25}
2,6,6,{18}
20,2,5,{24}
21,2,3,{26}
22,1,4,{28}
23,6,6,{25}
24,1,6,{26}
25,2,5,{26}
26,2,4,{28}
27,6,7,{29}
28,3,2,{29}
29,5,2,"{30,'30x'}"
3,6,5,{11}
30,5,7,{}
4,5,5,"{5,8}"
5,6,5,"{6,28}"
6,1,6,"{7,25}"
7,2,2,{24}
8,2,6,"{9,16}"
9,6,6,"{10,27}"
