total_resource,6,,
---,,,
alternative_chain,,,
1,"(24,'24x')",,
2,"(2,'2x')",,
---,,,
jobnr,resource,time,successors
'24x',1,5,{28}
'2x',4,4,{11}
1,3,4,"{2,3,4,'2x'}"
10,1,4,{16}
11,4,5,"{12,13}"
12,3,3,{25}
13,2,3,"{14,26}"
14,6,6,"{15,24,'24x'}"
15,5,2,{20}
16,2,2,{28}
17,3,4,{25}
18,6,2,"{24,'24x'}"
19,3,3,{21}
2,6,4,{11}
20,1,3,{26}
21,3,3,{27}
22,3,7,{28}
23,4,5,{26}
24,5,6,{28}
25,4,7,{28}
26,3,3,{28}
27,4,4,{29}
28,1,2,{29}
29,6,3,{30}
3,2,2,{21}
30,3,2,{}
4,3,5,"{5,23}"
5,5,4,"{6,18}"
6,3,3,"{7,17}"
7,1,7,"{8,19}"
8,3,2,"{9,27}"
9,3,6,"{10,22}"
