total_resource,6,,
---,,,
alternative_chain,,,
1,"(18,'18x')",,
2,"(21,'21x')",,
3,"(23,'23x')",,
---,,,
jobnr,resource,time,successors
'18x',4,6,{24}
'21x',3,6,{27}
'23x',3,2,{28}
1,3,2,"{2,3,4}"
10,2,2,"{21,'21x'}"
11,4,4,"{12,26}"
12,6,6,{28}
13,5,6,"{14,22}"
14,6,5,"{15,17}"
15,1,5,{19}
16,6,7,"{18,'18x'}"
17,1,3,{27}
18,6,4,{24}
19,1,7,{24}
2,6,7,{20}
20,5,4,{26}
21,2,5,{27}
22,4,5,{25}
23,2,2,{28}
24,2,6,{29}
25,3,3,{29}
26,1,3,{27}
27,1,7,{29}
28,6,4,{29}
29,4,4,{30}
3,2,7,{6}
30,1,2,{}
4,2,2,"{5,9}"
5,3,5,{25}
6,2,4,"{7,23,'23x'}"
7,6,3,"{8,11}"
8,3,2,{16}
9,6,4,"{10,13}"
