total_resource,6,,
---,,,
alternative_chain,,,
1,"(27,'27x')",,
2,"(3,'3x')",,
3,"(11,'11x')",,
---,,,
jobnr,resource,time,successors
'11x',6,3,"{12,13}"
'27x',4,4,{29}
'3x',4,6,{18}
1,2,6,"{2,3,4,'3x'}"
10,1,2,{19}
11,2,6,"{12,13}"
12,2,3,{14}
13,4,2,{28}
14,2,3,{24}
15,1,4,"{16,20}"
16,5,5,"{17,23}"
17,5,6,{25}
18,2,2,{20}
19,5,2,"{27,'27x'}"
2,2,6,{21}
20,4,6,{26}
21,2,2,{28}
22,1,7,{24}
23,4,5,{25}
24,2,7,{26}
25,6,6,{28}
26,5,2,{29}
27,1,7,{29}
28,6,3,{29}
29,5,5,{30}
3,2,6,{18}
30,2,6,{}
4,5,3,"{5,15}"
5,3,2,"{6,22}"
6,4,2,"{7,27,'27x'}"
7,1,6,"{8,9}"
8,2,5,{26}
9,3,6,"{10,11,'11x'}"
