total_resource,6,,
---,,,
alternative_chain,,,
1,"(29,'29x')",,
2,"(16,'16x')",,
3,"(10,'10x')",,
---,,,
jobnr,resource,time,successors
'10x',5,7,"{11,20}"
'16x',3,2,{26}
'29x',3,5,{30}
1,5,5,"{2,3,4}"
10,4,6,"{11,20}"
11,6,2,{19}
12,3,4,"{13,25}"
13,5,7,{22}
14,5,3,{23}
15,2,4,{28}
16,3,5,{26}
17,1,5,{24}
18,5,4,{21}
19,5,3,{22}
2,6,4,{27}
20,1,3,{28}
21,3,2,{27}
22,5,6,{23}
23,1,2,{26}
24,5,2,{25}
25,1,3,"{29,'29x'}"
26,2,6,"{29,'29x'}"
27,6,3,"{29,'29x'}"
28,3,7,"{29,'29x'}"
29,1,5,{30}
3,4,4,{14}
30,6,3,{}
4,3,7,"{5,6}"
5,5,2,{12}
6,3,6,"{7,17}"
7,5,7,"{8,16,'16x'}"
8,1,6,"{9,18}"
9,5,5,"{10,15,'10x'}"
