total_resource,6,,
---,,,
alternative_chain,,,
1,"(15,'15x')",,
2,"(26,'26x')",,
3,"(6,'6x')",,
---,,,
jobnr,resource,time,successors
'15x',2,2,"{16,22}"
'26x',6,7,{28}
'6x',3,2,"{7,9}"
1,1,3,"{2,3,4}"
10,2,3,"{11,19}"
11,5,5,"{12,14}"
12,5,5,"{13,27}"
13,1,4,{23}
14,2,5,{20}
15,4,7,"{16,22}"
16,3,7,{21}
17,3,3,{24}
18,2,7,{23}
19,1,7,{20}
2,4,5,"{26,'26x'}"
20,6,3,{21}
21,2,2,{22}
22,1,3,{24}
23,6,4,{27}
24,5,3,{25}
25,1,2,"{26,'26x'}"
26,1,4,{28}
27,3,4,{28}
28,1,3,{29}
29,2,3,{30}
3,3,7,{25}
30,2,5,{}
4,1,3,"{5,15,'15x'}"
5,1,7,"{6,18,'6x'}"
6,4,7,"{7,9}"
7,2,4,"{8,10}"
8,5,2,{17}
9,4,3,{28}
