total_resource,6,,
---,,,
alternative_chain,,,
1,"(13,'13x')",,
2,"(23,'23x')",,
3,"(10,'10x')",,
---,,,
jobnr,resource,time,successors
'10x',1,3,"{11,16}"
'13x',1,2,{22}
'23x',2,7,{24}
1,5,7,"{2,3,4}"
10,6,2,"{11,16}"
11,2,7,"{12,21}"
12,6,2,"{13,18,'13x'}"
13,5,3,{22}
14,5,6,"{15,24}"
15,6,3,"{23,'23x'}"
16,1,2,{27}
17,5,2,{28}
18,3,5,"{23,'23x'}"
19,6,2,{25}
2,4,3,{28}
20,3,2,{22}
21,6,2,{26}
22,1,2,{27}
23,4,3,{24}
24,3,5,{25}
25,2,6,{28}
26,4,3,{29}
27,3,6,{28}
28,6,4,{29}
29,6,5,{30}
3,1,3,{25}
30,1,6,{}
4,5,2,"{5,17}"
5,6,3,"{6,10,'10x'}"
6,2,4,"{7,19}"
7,6,7,"{8,26}"
8,6,7,"{9,14}"
9,6,6,{20}
