total_resource,6,,
---,,,
alternative_chain,,,
1,"(25,'25x')",,
2,"(17,'17x')",,
3,"(27,'27x')",,
---,,,
jobnr,resource,time,successors
'17x',4,2,"{25,'25x'}"
'25x',6,3,"{27,'27x','27x'}"
'27x',6,5,{28}
1,2,5,"{2,3,4}"
10,3,3,"{11,19}"
11,4,4,"{12,23}"
12,5,7,{15}
13,5,7,"{14,20}"
14,2,7,{28}
15,6,2,"{16,24}"
16,2,3,{21}
17,5,6,"{25,'25x'}"
18,6,2,"{27,'27x'}"
19,3,4,{21}
2,6,7,{13}
20,6,2,{22}
21,5,3,"{25,'25x'}"
22,5,7,{24}
23,2,5,{26}
24,6,6,{28}
25,5,3,"{27,'27x','27x'}"
26,3,7,"{27,'27x'}"
27,2,4,{28}
28,4,3,{29}
29,3,6,{30}
3,3,3,{18}
30,5,6,{}
4,4,2,"{5,27,'27x'}"
5,4,7,"{6,26}"
6,2,5,"{7,22}"
7,4,2,"{8,9}"
8,6,3,{10}
9,5,5,"{17,'17x'}"
