total_resource,6,,
---,,,
alternative_chain,,,
1,"(11,'11x')",,
2,"(23,'23x')",,
3,"(6,'6x')",,
---,,,
jobnr,resource,time,successors
'11x',1,4,"{12,21}"
'23x',4,2,{27}
'6x',5,7,"{7,20}"
1,1,3,"{2,3,4}"
10,2,2,{24}
11,4,7,"{12,21}"
12,5,3,"{13,16}"
13,2,4,"{14,17}"
14,2,5,{27}
15,3,4,{25}
16,5,4,"{23,'23x'}"
17,4,7,{22}
18,4,7,{26}
19,2,3,{20}
2,4,4,{15}
20,5,4,{24}
21,2,2,{22}
22,2,5,{28}
23,2,7,{27}
24,4,6,{25}
25,6,4,{28}
26,4,2,{27}
27,2,3,{29}
28,6,6,{29}
29,3,4,{30}
3,3,6,"{11,'11x'}"
30,5,3,{}
4,2,6,"{5,10}"
5,6,5,"{6,26,'6x'}"
6,5,6,"{7,20}"
7,3,4,"{8,19}"
8,4,6,"{9,18}"
9,3,2,{28}
