total_resource,6,,
---,,,
alternative_chain,,,
1,"(9,'9x')",,
2,"(29,'29x')",,
3,"(1,'1x')",,
---,,,
jobnr,resource,time,successors
'1x',4,5,"{2,3,4}"
'29x',5,6,{30}
'9x',3,2,"{10,13}"
1,2,4,"{2,3,4}"
10,2,6,"{11,26}"
11,6,2,"{12,25}"
12,5,2,{14}
13,2,5,{21}
14,4,7,"{15,27}"
15,1,2,{28}
16,6,3,"{17,18}"
17,3,2,{19}
18,5,5,{26}
19,6,6,{21}
2,2,5,{20}
20,3,7,{25}
21,5,4,{24}
22,3,2,{28}
23,4,3,{27}
24,2,2,"{29,'29x'}"
25,6,6,{28}
26,2,7,{27}
27,2,4,"{29,'29x'}"
28,1,5,"{29,'29x'}"
29,5,3,{30}
3,1,4,{6}
30,3,4,{}
4,3,2,"{5,9,'9x'}"
5,2,6,{24}
6,5,2,"{7,22}"
7,4,6,"{8,16}"
8,6,4,{23}
9,6,3,"{10,13}"
