total_resource,6,,
---,,,
alternative_chain,,,
1,"(20,'20x')",,
2,"(13,'13x')",,
3,"(21,'21x')",,
---,,,
jobnr,resource,time,successors
'13x',5,5,{16}
'20x',1,3,{26}
'21x',2,3,{28}
1,1,7,"{2,3,4}"
10,1,5,{22}
11,1,4,{24}
12,1,3,"{13,26,'13x'}"
13,4,3,{16}
14,6,6,{25}
15,2,5,{17}
16,3,5,"{21,'21x'}"
17,6,6,{23}
18,2,4,"{19,20,'20x'}"
19,2,5,{25}
2,4,2,{15}
20,1,5,{26}
21,3,5,{28}
22,1,2,{23}
23,3,6,{24}
24,3,4,{27}
25,2,4,{27}
26,6,6,{29}
27,4,3,{28}
28,5,5,{29}
29,3,6,{30}
3,2,2,{14}
30,1,2,{}
4,3,2,"{5,11}"
5,2,5,"{6,12}"
6,1,5,"{7,18}"
7,4,5,"{8,10}"
8,3,2,"{9,27}"
9,3,2,{28}
