total_resource,6,,
---,,,
alternative_chain,,,
1,"(7,'7x')",,
2,"(30,'30x')",,
3,"(2,'2x')",,
---,,,
jobnr,resource,time,successors
'2x',5,3,{5}
'30x',1,4,{}
'7x',3,6,"{8,28}"
1,4,2,"{2,3,4,'2x'}"
10,5,4,"{11,23}"
11,4,4,"{12,20}"
12,1,7,{18}
13,5,5,{24}
14,5,2,"{15,17}"
15,2,5,"{16,19}"
16,1,4,{22}
17,1,6,{26}
18,5,3,{26}
19,4,6,{23}
2,5,7,{5}
20,3,5,{25}
21,4,6,{24}
22,6,4,{27}
23,6,6,{28}
24,5,6,{28}
25,4,2,{28}
26,2,5,{28}
27,1,4,{28}
28,5,2,{29}
29,1,3,"{30,'30x'}"
3,6,7,{14}
30,6,4,{}
4,4,2,{13}
5,2,7,"{6,10}"
6,6,2,"{7,25,'7x'}"
7,4,2,"{8,28}"
8,3,4,"{9,27}"
9,2,6,{21}
