total_resource,6,,
---,,,
alternative_chain,,,
1,"(18,'18x')",,
2,"(22,'22x')",,
---,,,
jobnr,resource,time,successors
'18x',3,3,{26}
'22x',6,3,{25}
1,1,3,"{2,3,4}"
10,2,2,"{11,17}"
11,1,5,"{12,15}"
12,2,5,{23}
13,1,4,{28}
14,4,2,{19}
15,5,6,"{16,26}"
16,4,3,{24}
17,4,3,{24}
18,1,3,{26}
19,1,5,{27}
2,2,2,{25}
20,2,3,{28}
21,4,4,{23}
22,3,3,{25}
23,3,7,{28}
24,4,4,{25}
25,5,2,{28}
26,5,3,{27}
27,5,5,{28}
28,4,3,{29}
29,5,4,{30}
3,4,4,"{18,'18x'}"
30,3,6,{}
4,1,5,"{5,13}"
5,5,7,"{6,27}"
6,5,4,"{7,22,'22x'}"
7,3,3,"{8,20}"
8,4,2,"{9,21}"
9,3,5,"{10,14}"
